feature_rank,gene_name_norm,gene_name,gene_id,train_prevalence,mean_log2_tpm_train,variance_log2_tpm_train
1,SFTPC,SFTPC,ENSG00000168484,0.9777777777777777,6.953332035054313,17.092705054339934
2,BPIFA1,BPIFA1,ENSG00000198183,0.9694444444444444,5.494514639138999,14.115819826564787
3,PGC,PGC,ENSG00000096088,0.9861111111111112,6.049283851809742,14.037412772550748
4,SCGB1A1,SCGB1A1,ENSG00000149021,0.9388888888888889,5.140709394929202,12.571398030414326
5,SFTPA1,SFTPA1,ENSG00000122852,0.9944444444444445,9.616334439923193,12.24151406421557
6,SFTPA2,SFTPA2,ENSG00000185303,1.0,9.869570750114487,12.084243563479937
7,GPX2,GPX2,ENSG00000176153,1.0,4.572205881107439,11.43612412544133
8,TFF1,TFF1,ENSG00000160182,0.8916666666666667,3.5850243015295984,11.224519954843995
9,SCGB3A1,SCGB3A1,ENSG00000161055,1.0,7.1357886501497,11.107458525633303
10,SCGB3A2,SCGB3A2,ENSG00000164265,0.9944444444444445,7.47493159970259,10.997754737261928
11,AKR1C2,AKR1C2,ENSG00000151632,0.9916666666666667,3.7472054793605327,10.721771155567076
12,FGG,FGG,ENSG00000171557,0.9777777777777777,5.317481791341286,10.63797785868888
13,SPINK1,SPINK1,ENSG00000164266,0.9972222222222222,5.703970111430711,10.507234645562473
14,MSLN,MSLN,ENSG00000102854,1.0,6.894859016179521,10.247892001227589
15,AKR1B10,AKR1B10,ENSG00000198074,0.8944444444444445,3.4652240743681073,10.223405971886175
16,PAEP,PAEP,ENSG00000122133,0.9194444444444444,3.779341780686045,10.11071697549982
17,FGA,FGA,ENSG00000171560,0.9694444444444444,3.8721302663114336,9.943532487647062
18,S100P,S100P,ENSG00000163993,1.0,8.080373062518818,9.936287936832604
19,CEACAM5,CEACAM5,ENSG00000105388,0.9972222222222222,7.098525854294192,9.767760643200898
20,MSMB,MSMB,ENSG00000263639,0.9305555555555556,3.8434360464028012,8.781111698451818
21,MUC5B,MUC5B,ENSG00000117983,0.9666666666666667,4.426654382126702,8.417346812337913
22,CLDN18,CLDN18,ENSG00000066405,0.9722222222222222,3.9548769918228737,8.401074514547426
23,BPIFB1,BPIFB1,ENSG00000125999,0.975,5.207283821641854,8.327279633428848
24,CPS1,CPS1,ENSG00000021826,0.9694444444444444,2.155468633309001,8.31547013402707
25,SFTPB,SFTPB,ENSG00000168878,1.0,11.329443338356068,8.243056020243873
26,KRT6A,KRT6A,ENSG00000205420,0.8916666666666667,3.302881772278511,8.117651427423949
27,AQP5,AQP5,ENSG00000161798,0.9722222222222222,4.669061802354363,8.088903170141613
28,PIGR,PIGR,ENSG00000162896,0.9944444444444445,7.610511924137791,7.9744061505314
29,AKR1C1,AKR1C1,ENSG00000187134,1.0,3.8501150302546434,7.946804269655587
30,TCN1,TCN1,ENSG00000134827,0.9194444444444444,3.0606640006312253,7.937513437587076
31,CRLF1,CRLF1,ENSG00000006016,1.0,4.517704131997078,7.694807469156232
32,LGALS4,LGALS4,ENSG00000171747,0.9722222222222222,2.6286718443541686,7.655290570978407
33,MUC13,MUC13,ENSG00000173702,0.8861111111111111,3.2617148232663737,7.634278794356367
34,TFF3,TFF3,ENSG00000160180,1.0,5.962722863110924,7.493146239137417
35,TM4SF4,TM4SF4,ENSG00000169903,0.9305555555555556,2.7186739333142484,7.390308810133901
36,TFPI2,TFPI2,ENSG00000105825,1.0,4.983930615081991,7.242398754109936
37,CLDN6,CLDN6,ENSG00000184697,0.8888888888888888,2.4342911599318677,7.1036123628117736
38,CTSE,CTSE,ENSG00000196188,0.9888888888888889,6.490636884631892,7.092141364012336
39,AZGP1,AZGP1,ENSG00000160862,0.9916666666666667,4.808225839210255,6.990363081521981
40,CXCL14,CXCL14,ENSG00000145824,1.0,5.592045330814336,6.876223099362351
41,C16ORF89,C16orf89,ENSG00000153446,1.0,7.06307151141846,6.773822773041322
42,PRSS2,PRSS2,ENSG00000275896,0.8694444444444445,2.8911134367343534,6.65171851138666
43,DMBT1,DMBT1,ENSG00000187908,0.9777777777777777,4.299649014007148,6.576557086860135
44,VSIG1,VSIG1,ENSG00000101842,0.9916666666666667,3.1668875911986722,6.557221516250208
45,NAPSA,NAPSA,ENSG00000131400,0.9972222222222222,8.434309353999808,6.46113744434188
46,PCP4,PCP4,ENSG00000183036,0.9555555555555556,3.3174108340753174,6.45366124866422
47,IL37,IL37,ENSG00000125571,0.8972222222222223,2.79815698584758,6.326155490610208
48,C20ORF85,C20orf85,ENSG00000124237,0.8638888888888889,3.5025879366191015,6.294049510242512
49,CYP4B1,CYP4B1,ENSG00000142973,0.9972222222222222,5.134007917966005,6.26348293382147
50,CST1,CST1,ENSG00000170373,0.95,4.3002698374504424,6.253387864190513
51,AGER,AGER,ENSG00000204305,1.0,5.513862814166004,6.252107873554499
52,EEF1A2,EEF1A2,ENSG00000101210,0.9583333333333334,3.4881633022275564,6.1254199854047675
53,WIF1,WIF1,ENSG00000156076,0.9583333333333334,3.541184934547426,6.117962989139925
54,SFTPD,SFTPD,ENSG00000133661,1.0,5.803399091882748,6.096206751765113
55,HP,HP,ENSG00000257017,0.9805555555555555,3.49721909913128,6.0846476516033965
56,CLDN2,CLDN2,ENSG00000165376,0.9861111111111112,3.1564303223080348,6.078661140691033
57,C4BPA,C4BPA,ENSG00000123838,0.9972222222222222,6.8422000377491665,6.053263835670084
58,FGL1,FGL1,ENSG00000104760,0.8972222222222223,2.5633524925796727,6.0350543841396735
59,MUC21,MUC21,ENSG00000204544,0.9555555555555556,4.63405392076607,5.991499589937576
60,PEBP4,PEBP4,ENSG00000134020,1.0,4.2245622650253605,5.9803515474093745
61,CYP24A1,CYP24A1,ENSG00000019186,0.9888888888888889,4.051871126652957,5.882193647234058
62,PPP1R14D,PPP1R14D,ENSG00000166143,0.9888888888888889,3.969784626878432,5.84656147583972
63,CRABP2,CRABP2,ENSG00000143320,1.0,7.688226223371519,5.84614600761321
64,GSTA1,GSTA1,ENSG00000243955,0.9722222222222222,4.223230989664481,5.837729939331423
65,DEFB1,DEFB1,ENSG00000164825,0.9861111111111112,3.8603763888943807,5.755736443583479
66,TSPAN8,TSPAN8,ENSG00000127324,0.9944444444444445,5.161490712989469,5.725596413381493
67,HHLA2,HHLA2,ENSG00000114455,0.9027777777777778,2.7195979824790704,5.66384212758193
68,ALDH3A1,ALDH3A1,ENSG00000108602,0.9861111111111112,2.949845487918666,5.61661344932538
69,GKN2,GKN2,ENSG00000183607,0.8583333333333333,2.9604780452444053,5.596946438764936
70,UCHL1,UCHL1,ENSG00000154277,1.0,4.8170297735039505,5.586394897668771
71,PSCA,PSCA,ENSG00000167653,0.9416666666666667,2.5116793411750273,5.560536266605469
72,KLK11,KLK11,ENSG00000167757,0.9527777777777777,3.527782676393267,5.5476778803927145
73,MMP1,MMP1,ENSG00000196611,1.0,5.043983742775652,5.538011417320772
74,GFRA3,GFRA3,ENSG00000146013,0.9888888888888889,3.32484227862292,5.432037827132842
75,LTF,LTF,ENSG00000012223,0.9972222222222222,4.957409205600607,5.428435980568274
76,AOC1,AOC1,ENSG00000002726,0.9916666666666667,3.5142383024552033,5.377545643219211
77,CA9,CA9,ENSG00000107159,0.9805555555555555,3.447008313697143,5.347426884827076
78,AKR1C3,AKR1C3,ENSG00000196139,1.0,5.3228138683239035,5.347300961357583
79,MS4A15,MS4A15,ENSG00000166961,0.9277777777777778,3.166375092394434,5.32351533787326
80,TNNT1,TNNT1,ENSG00000105048,0.9805555555555555,3.5350199769932806,5.3102314952131815
81,KRT17,KRT17,ENSG00000128422,0.9972222222222222,5.086759859629202,5.273940582661402
82,AQP4,AQP4,ENSG00000171885,0.9611111111111111,4.508463020155162,5.232483612588022
83,TESC,TESC,ENSG00000088992,1.0,5.444434516103546,5.221026033607841
84,FOSB,FOSB,ENSG00000125740,1.0,4.438075769566654,5.208327974978815
85,AGR3,AGR3,ENSG00000173467,0.9972222222222222,6.450150446552702,5.138748598099899
86,MMP13,MMP13,ENSG00000137745,0.9638888888888889,3.1652007639574014,5.132686164249043
87,EREG,EREG,ENSG00000124882,0.9083333333333333,2.336044270797532,5.107730443409815
88,B3GNT6,B3GNT6,ENSG00000198488,0.9333333333333333,3.045401763857544,5.051225720517221
89,TMEM59L,TMEM59L,ENSG00000105696,0.9972222222222222,2.91462490284039,5.029958683892499
90,SUSD2,SUSD2,ENSG00000099994,1.0,5.618961246804236,4.961036757664402
91,GGTLC1,GGTLC1,ENSG00000149435,0.95,4.083781995149379,4.939658176475403
92,TMPRSS11E,TMPRSS11E,ENSG00000087128,0.9222222222222223,2.9386058138925266,4.918326173415447
93,ADH1C,ADH1C,ENSG00000248144,0.9722222222222222,3.089174087075341,4.898598333323541
94,SPP1,SPP1,ENSG00000118785,1.0,8.14131899822681,4.86795683454084
95,SAA1,SAA1,ENSG00000173432,0.9972222222222222,4.567991377958942,4.857104895837887
96,CEACAM6,CEACAM6,ENSG00000086548,1.0,9.936180556936634,4.850968494528705
97,PEG10,PEG10,ENSG00000242265,1.0,4.2702701532708325,4.792064893318755
98,SHISA3,SHISA3,ENSG00000178343,0.975,2.7141840257076533,4.733383021047005
99,MMP12,MMP12,ENSG00000262406,1.0,4.4502470153964495,4.7324622549479125
100,LCN2,LCN2,ENSG00000148346,0.9944444444444445,7.233600655454541,4.728423600014195
101,TNNC2,TNNC2,ENSG00000101470,1.0,3.1614462668366046,4.727450250714063
102,FOLR1,FOLR1,ENSG00000110195,0.9972222222222222,7.319788912790117,4.719258244611451
103,DKK1,DKK1,ENSG00000107984,0.9555555555555556,2.6428832228138464,4.70729646362031
104,PPP1R1B,PPP1R1B,ENSG00000131771,0.9861111111111112,4.307421994165657,4.70026822975439
105,SLPI,SLPI,ENSG00000124107,1.0,9.81441837324461,4.6983187105874915
106,INHA,INHA,ENSG00000123999,0.9138888888888889,2.0389182622455233,4.697304686787368
107,HGD,HGD,ENSG00000113924,0.9972222222222222,3.2344134412514665,4.692985487234835
108,SLC1A7,SLC1A7,ENSG00000162383,0.9833333333333333,2.3860051818944674,4.6732957750928135
109,ERN2,ERN2,ENSG00000134398,0.9027777777777778,2.804328457101887,4.66719153852013
110,PCP4L1,PCP4L1,ENSG00000248485,0.9944444444444445,4.353552275731814,4.666453487002966
111,MMP7,MMP7,ENSG00000137673,1.0,5.7674320954426905,4.650398598725699
112,COL17A1,COL17A1,ENSG00000065618,1.0,3.2589728274766356,4.64856769808287
113,CLDN10,CLDN10,ENSG00000134873,0.9694444444444444,2.7808872265408677,4.614044858313173
114,ALPL,ALPL,ENSG00000162551,1.0,5.929346280964942,4.583037615476216
115,SLC34A2,SLC34A2,ENSG00000157765,1.0,9.446369782615497,4.575162002358715
116,HBB,HBB,ENSG00000244734,1.0,5.577619459501782,4.553559596487663
117,CES1,CES1,ENSG00000198848,1.0,5.582231270435821,4.5427285471679655
118,PLA2G1B,PLA2G1B,ENSG00000170890,0.975,3.205387408681632,4.511354677165728
119,PKP1,PKP1,ENSG00000081277,0.9694444444444444,2.6614214536507834,4.508926714515809
120,MARCO,MARCO,ENSG00000019169,1.0,5.612630580064856,4.4643814721734145
121,MYEOV,MYEOV,ENSG00000172927,0.9722222222222222,2.6302065768577263,4.447915274125886
122,KRT81,KRT81,ENSG00000205426,0.9777777777777777,2.039745437687875,4.4427584155822695
123,KRT5,KRT5,ENSG00000186081,0.9555555555555556,2.3039252623323923,4.43917541166398
124,AREG,AREG,ENSG00000109321,1.0,5.44751233936607,4.431709204993746
125,GSTA2,GSTA2,ENSG00000244067,0.8944444444444445,2.4090674106679613,4.422071853789063
126,AKR7A3,AKR7A3,ENSG00000162482,0.9944444444444445,2.923688657979232,4.4014188666014595
127,HPGD,HPGD,ENSG00000164120,1.0,4.990236183193816,4.398730494763477
128,COL11A1,COL11A1,ENSG00000060718,0.9666666666666667,3.178009268987125,4.39633271418993
129,SLC26A9,SLC26A9,ENSG00000174502,0.9972222222222222,3.815786249223766,4.368188141506571
130,SERPIND1,SERPIND1,ENSG00000099937,0.9666666666666667,2.5634479033104536,4.34842247190191
131,TNS4,TNS4,ENSG00000131746,0.9944444444444445,3.0659670179235694,4.344080118706646
