gene_name_norm,gdc_abs_log2_fc,gdc_neg_log10_p,gdc_neg_log10_fdr,sample_prevalence_score,expression_evidence_score,network_context_score,geo_component_score,de_priority_gate,degree_gene,weighted_degree_gene,pagerank,betweenness_centrality,pca_1,pca_2,cluster_id,target_score_raw,target_penalty_reason,target_penalty_factor,target_score,target_rank,evidence_level,gene_name,gene_id,count_tumor,count_normal,mean_raw_tumor,mean_raw_normal,mean_log_tumor,mean_log_normal,gdc_log2_fc,gdc_p_value,gdc_adj_p_value,gdc_expression_status,count_advanced,count_early,mean_advanced,mean_early,geo_stage_diff_advanced_vs_early,geo_p_value,geo_adj_p_value,protein_count,geo_direction_match,geo_validation_status,geo_validation_bonus,coefficient,model_importance,importance_type,model_importance_rank,encoded_by_gene,protein_target,protein_target_cluster,isolation_priority_score,gmm_rarity_score,cluster_priority_score,evidence_prior_score,protein_ml_priority_score,protein_ml_rank
IL6,2.5148378884275946,4.58041878607748,4.249123733352826,0.6666666666666666,0.6666666666666666,0.4404881644844421,0.0,1.0,4633.0,1602.357,0.0005554164525201789,0.026491096704074416,21.123949617882072,-3.734250975155236,4,0.5169073961865772,none,1.0,0.5169073961865772,297,exploratory,IL6,ENSG00000136244,492.0,24.0,10.333481097560973,63.77463333333333,2.692984640768288,4.740958414223147,-2.5148378884275946,2.627732871742816e-05,5.634770946261684e-05,FDR Down-regulated,320.0,708.0,0.1787880392766965,-0.002044077632531478,0.18083211690922799,0.00950506179353509,0.04137256202403759,1.0,False,conflicting,-0.25,-0.010084207416258205,0.010084207416258205,absolute_coefficient,65.0,IL6,IL6 protein,9,0.9998220746100469,0.999584840756776,1.0,0.40310307386286715,1.0,1
MME,2.294629973706939,20.022983722473718,18.6629782084203,0.6626016260162602,0.629942782810632,0.09808953828044392,0.2,1.0,1238.0,378.8030000000001,0.0001304130910565399,0.004832755156202608,3.524610817815442,1.873728424515099,3,0.4500765937526772,none,1.0,0.4500765937526772,813,background,MME,ENSG00000196549,489.0,24.0,5.869015950920246,32.70132499999999,1.995658096487309,4.959908947704747,-2.294629973706939,9.484540110603555e-21,2.17281020115335e-19,FDR Down-regulated,335.0,735.0,0.10224402014661534,0.010582979266958621,0.09166104087965671,0.19660374458841195,0.37090946203170055,1.0,False,geo_weak_signal,0.0,-0.015109217747120016,0.015109217747120016,absolute_coefficient,8.0,MME,MME protein,3,0.9946622383014057,0.9972125022240673,0.9166666666666666,0.4526447205097921,0.983645644847712,2
CDK1,2.3193327766938205,23.67468985343617,22.066899855671995,0.6666666666666666,0.6377599109376779,0.35892941246339405,0.2,1.0,3911.0,1215.2919999999997,0.0004607783166135632,0.023796886058032558,17.951075295925904,-1.1726128125262498,4,0.5121985524191331,none,1.0,0.5121985524191331,342,exploratory,CDK1,ENSG00000170312,492.0,24.0,30.036304878048774,5.2184375,4.483523939062928,2.5823038768904154,2.3193327766938205,2.1149989035405975e-24,8.572354930912985e-23,FDR Up-regulated,,,,,,,,1.0,False,missing_geo,0.0,0.0005858755416405182,0.0005858755416405182,absolute_coefficient,1786.0,CDK1,CDK1 protein,9,0.9993476069035051,0.9994069153668228,1.0,0.3289823832610622,0.983475423351101,3
CDC20,3.391004721846256,15.534742825198254,14.474289610650619,0.6666666666666666,0.6666666666666666,0.19051588000331793,1.0,1.0,2650.0,799.3579999999997,0.00030742393439423075,0.004201262511373977,7.791482558597794,2.8286408958174807,0,0.6119134936007299,none,1.0,0.6119134936007299,3,high,CDC20,ENSG00000117399,492.0,24.0,60.81095792682928,4.892116666666666,5.34739345827945,2.209664074246519,3.391004721846256,2.9191551292251034e-16,3.355138011851702e-15,FDR Up-regulated,337.0,765.0,0.33638432138512747,0.012217611788461607,0.3241667095966659,1.39635381123248e-07,7.002053790302046e-06,1.0,True,validated,1.0,0.005138923178435279,0.005138923178435279,absolute_coefficient,482.0,CDC20,Cell division cycle protein 20 homolog,3,0.9915781982088844,0.9915188897455667,0.9166666666666666,0.4366258911741753,0.9771820425590456,4
EXO1,2.4667855057623753,33.96273154844578,31.79275307139134,0.6666666666666666,0.6613523475886467,0.16531957979841916,1.0,1.0,2090.0,659.4409999999996,0.0002543892598693367,0.005420015670811849,7.040297209503111,3.7774396395388523,0,0.6032880024904006,none,1.0,0.6032880024904006,9,high,EXO1,ENSG00000174371,492.0,24.0,8.104884146341464,0.6470166666666667,2.7152978483850196,0.685364758433768,2.4667855057623753,1.0896034045418051e-34,1.6115616670157347e-32,FDR Up-regulated,318.0,699.0,0.3616143324805582,0.01211540493647833,0.34949892754407985,3.975914737882333e-07,1.5532666907325523e-05,1.0,True,validated,1.0,0.0016852045748211952,0.0016852045748211952,absolute_coefficient,1390.0,EXO1,EXO1 protein,3,0.9894430935294467,0.9951367060079473,0.9166666666666666,0.401890969302641,0.9697284649482867,5
CCNB1,2.7476348802906454,21.264385365244337,19.804657902935602,0.6666666666666666,0.6666666666666666,0.20588902701485046,1.0,1.0,3049.0,936.358,0.0003064365283725703,0.003931130573248408,8.451892272609275,2.6977129367292907,0,0.615295585943267,none,1.0,0.615295585943267,2,high,CCNB1,ENSG00000134057,492.0,24.0,58.0504231707317,7.7923,5.431116898870155,3.034637552868073,2.7476348802906454,5.440197101890457e-22,1.5679856980337607e-20,FDR Up-regulated,337.0,766.0,0.42635295841599696,0.013068343658688995,0.413284614757308,2.4846078297061407e-11,1.5314846594772016e-08,1.0,True,validated,1.0,0.002946714861590965,0.002946714861590965,absolute_coefficient,984.0,CCNB1,Cyclin B1,3,0.9881383073364569,0.9843425656841231,0.9166666666666666,0.40483152637595476,0.9666726896488012,6
SPP1,4.997343400244296,14.008464100010647,13.060334372572559,0.6666666666666666,0.6666666666666666,0.11509678797224084,1.0,1.0,1966.0,595.196,0.00015907551491199448,0.0007890696087352138,4.283905992457645,5.007391381108064,3,0.5953212933538929,none,1.0,0.5953212933538929,18,high,SPP1,ENSG00000118785,492.0,24.0,814.1558439024386,24.520570833333334,8.407436835937114,4.009638339932053,4.997343400244296,9.80699378308711e-15,8.702932746138515e-14,FDR Up-regulated,337.0,765.0,0.24026185449196208,-0.0063793317099053145,0.2466411862018674,9.478746406080309e-05,0.001230019782169135,1.0,True,validated,1.0,0.013200043252936059,0.013200043252936059,absolute_coefficient,17.0,SPP1,Osteopontin,4,0.9949587806179941,0.9986952138070102,0.75,0.5647688597416365,0.9600270115242033,7
CDKN2A,2.8854901044285355,21.973159004078802,20.474629457709113,0.6653116531165312,0.6653116531165312,0.2589136247041169,0.6,1.0,4298.0,1234.963,0.00024967159499043873,0.011442694115862906,12.444241676602902,1.3987143066633132,4,0.5661073388983203,none,1.0,0.5661073388983203,127,exploratory,CDKN2A,ENSG00000147889,491.0,24.0,18.3530949083503,1.618975,3.0035217663012426,1.3199349031416874,2.8854901044285355,1.063753485046248e-22,3.352513553526129e-21,FDR Up-regulated,337.0,765.0,0.14350655930149936,0.007245230598655207,0.13626132870284416,0.04895699780218457,0.1389084649761687,1.0,True,geo_weak_signal,0.5,0.003049890792419763,0.003049890792419763,absolute_coefficient,951.0,CDKN2A,CDKN2A protein,6,0.9955518652511713,0.9973311191507028,0.8333333333333334,0.39189304753090537,0.9463111109865169,8
EEF1A2,4.915363424998204,37.21691399608993,34.88765775898945,0.6355013550135501,0.6355013550135501,0.10128957578096863,1.0,1.0,2574.0,641.19,8.020523789498736e-05,0.00079973271155596,4.612276719757061,7.1994879242849,3,0.5726495603303496,none,1.0,0.5726495603303496,114,exploratory,EEF1A2,ENSG00000101210,469.0,22.0,49.61072515991471,0.6771454545454546,3.5774416246078427,0.67197925734279,4.915363424998204,6.068564942833143e-38,1.2952161202672105e-35,FDR Up-regulated,335.0,720.0,0.18486207315225656,-0.0013269440327551112,0.18618901718501166,0.008669651771249868,0.03881750863681085,1.0,True,validated,1.0,0.0024407893611459136,0.0024407893611459136,absolute_coefficient,1147.0,EEF1A2,EEF1A2 protein,4,0.9942470790581815,0.9990510645869165,0.75,0.481599320255896,0.9415733366351358,9
JUN,1.2605867731357012,8.594934447843066,8.023376301815627,0.6666666666666666,0.4683605503683788,0.32701509676620266,1.0,0.65,5493.0,1637.416999999999,0.00044017935528520606,0.004563808007279345,13.677066147420346,-0.7531246195709861,4,0.50174561138456,none,1.0,0.50174561138456,409,exploratory,JUN,ENSG00000177606,492.0,24.0,202.68862967479672,487.02404166666673,7.346070301964321,8.747517639888043,-1.2605867731357012,2.5413562674406876e-09,9.475970459634824e-09,Nominal Down-regulated,320.0,708.0,-0.23703988762990774,0.0020686315693550527,-0.2391085191992628,0.0008538941181433115,0.006570010569209459,1.0,True,validated,1.0,,,,,JUN,JUN protein,3,0.9948994721546764,0.9956704821778067,0.9166666666666666,0.2564220263285671,0.940205283075235,10
